name,symbol,price(USD),change24h,change7d,market_cap(USD),volume24h(USD),circulating_supply
UNUS SED LEO,LEO,2.05,-5.65,-31.0,1957149725,2494883,953954130
NEM,XEM,0.2091,2.08,-3.83,1882030466,124470893,8999999999
Telcoin,TEL,0.03612,-2.22,14.22,1874085035,61962070,51884110195
Zcash,ZEC,150.92,0.19,-15.14,1790187058,449752406,11862100
Chiliz,CHZ,0.3061,4.02,-0.49,1775151564,567343402,5799955194
Waves,WAVES,16.55,5.1,-32.56,1741247937,185877692,105214474
yearn.finance,YFI,47292.4,-0.49,-8.51,1732558592,495365001,36635
Theta Fuel,TFUEL,0.3162,8.24,9.83,1675980089,33852621,5301214400
Holo,HOT,0.00968,-8.12,12.8,1671489436,235007092,172673864848
Celsius,CEL,6.76,-1.16,6.27,1615699839,19094501,238863520
SushiSwap,SUSHI,12.32,-2.43,-19.24,1567259004,603112878,127244443
Synthetix,SNX,13.58,-1.95,-15.58,1559552769,105058578,114841533
Decentraland,MANA,0.9323,-1.26,1.58,1473536093,256460628,1580471221
Enjin Coin,ENJ,1.72,-5.06,20.03,1435002031,801174187,834331121
Helium,HNT,16.89,15.0,29.92,1424876306,26693964,84371794
Zilliqa,ZIL,0.1235,-1.91,-9.65,1397984363,135487284,11317765381
Qtum,QTUM,13.74,13.68,10.77,1352373019,1113960442,98400428
Basic Attention Token,BAT,0.8994,13.92,5.35,1345457330,342723700,1495982656
Paxos Standard,PAX,1.0,-0.02,0.05,1328952863,70237314,1328436866
Stacks,STX,1.12,8.59,11.18,1290217586,32703950,1149082526
Nexo,NEXO,2.32,1.64,-4.71,1299178273,15333345,560000011
NEAR Protocol,NEAR,3.3,-5.88,-18.03,1275783455,91903747,387024127
Revain,REV,0.01416,-9.83,-21.14,1204215770,4169102,85061485690
Bitcoin Gold,BTG,68.88,4.34,-0.09,1206289543,53819731,17513924
TrueUSD,TUSD,1.0,0.02,0.09,1126241724,151225400,1125523285
Nano,NANO,8.44,6.15,-7.67,1124083725,93025299,133248297
Horizen,ZEN,100.45,1.15,23.34,1117721903,103715334,11127069
Ontology,ONT,1.24,2.16,-6.67,1071651059,359047527,862599654
OMG Network,OMG,7.53,7.54,16.89,1055432508,619138420,140245398
Harmony,ONE,0.1081,1.7,-12.13,1027359570,153339188,9507132552
Bancor,BNT,4.99,3.75,-5.71,1017460226,129929976,203720167
DigiByte,DGB,0.07092,-6.46,-22.51,1017426191,63278210,14346790965
0x,ZRX,1.15,2.8,2.08,969775316,109229205,841921228
SwissBorg,CHSB,0.9686,1.84,3.12,968582874,12430141,1000000000
HUSD,HUSD,1.0,0.02,0.02,968522248,154676082,968026129
The Graph,GRT,0.7715,-10.22,-14.35,961016370,153724637,1245666867
BakeryToken,BAKE,4.88,23.79,5.93,921786988,345457951,188717930
Siacoin,SC,0.0192,-3.45,-0.5,918475010,79273305,47847172992
Fantom,FTM,0.3535,-0.55,-22.12,899696963,97735889,2545006273
UMA,UMA,14.68,-0.01,-18.76,891559568,32702598,60722115
OKB,OKB,14.68,0.28,-28.23,880615840,789774431,60000000
Mdex,MDX,2.08,9.22,1.63,865807779,118103422,415668275
Celo,CELO,3.81,4.46,-5.01,858535535,26130539,225479897
Ravencoin,RVN,0.09633,0.64,-1.78,853755433,77462729,8862715000
ICON,ICX,1.26,-2.14,-6.46,783025338,64771918,621855152
Ankr,ANKR,0.1114,1.55,-9.43,779675698,80844161,6996232711
XinFin Network,XDC,0.05474,2.5,-13.56,671614735,5202126,12268950136
